Time	CellId	RNTI	BWPId	SINR(dB)
42.5201	3	1	0	24.0017
42.5251	1	1	0	-18.1901
42.5251	3	1	0	24.0017
42.5301	1	1	0	-18.1901
42.5301	3	1	0	24.0017
42.5351	1	1	0	-18.1901
42.5351	3	1	0	24.0017
42.5361	1	1	0	8.91451
42.5401	1	1	0	-18.1901
42.5401	3	1	0	24.0017
42.5451	1	1	0	-18.1901
42.5451	3	1	0	24.0017
42.5501	1	1	0	-18.1901
42.5501	3	1	0	24.0017
42.5551	1	1	0	-18.1901
42.5551	3	1	0	24.0017
42.5591	3	1	0	61.6913
42.5601	1	1	0	-18.1901
42.5601	3	1	0	24.0017
42.5651	1	1	0	-18.1901
42.5651	3	1	0	24.0017
42.5701	1	1	0	-18.1901
42.5701	3	1	0	24.0017
42.5751	1	1	0	-18.1901
42.5751	3	1	0	24.0017
42.5801	1	1	0	-18.1901
42.5801	3	1	0	24.0017
42.5851	1	1	0	-18.1901
42.5851	3	1	0	24.0017
42.5901	1	1	0	-18.1901
42.5901	3	1	0	24.0017
42.5951	1	1	0	-18.1901
42.5951	3	1	0	24.0017
42.6001	1	1	0	-18.1901
42.6001	3	1	0	24.0017
42.6051	1	1	0	-18.1901
42.6051	3	1	0	24.0017
42.6101	1	1	0	-18.1901
42.6101	3	1	0	24.0017
42.6151	1	1	0	-18.1901
42.6151	3	1	0	24.0017
42.6161	1	1	0	8.91451
42.6201	1	1	0	-18.1901
42.6201	3	1	0	24.0017
42.6251	1	1	0	-18.1901
42.6251	3	1	0	24.0017
42.6301	1	1	0	-18.1901
42.6301	3	1	0	24.0017
42.6351	1	1	0	-18.1901
42.6351	3	1	0	24.0017
42.6391	3	1	0	61.6913
42.6401	1	1	0	-18.1901
42.6401	3	1	0	24.0017
42.6451	1	1	0	-18.1901
42.6451	3	1	0	24.0017
42.6501	1	1	0	-18.1901
42.6501	3	1	0	24.0017
42.6551	1	1	0	-18.1901
42.6551	3	1	0	24.0017
42.6601	1	1	0	-18.1901
42.6601	3	1	0	24.0017
42.6651	1	1	0	-18.1901
42.6651	3	1	0	24.0017
42.6701	1	1	0	-18.1901
42.6701	3	1	0	24.0017
42.6751	1	1	0	-18.1901
42.6751	3	1	0	24.0017
42.6801	1	1	0	-18.1901
42.6801	3	1	0	24.0017
42.6851	1	1	0	-18.1901
42.6851	3	1	0	24.0017
42.6901	1	1	0	-18.1901
42.6901	3	1	0	24.0017
42.6951	1	1	0	-18.1901
42.6951	3	1	0	24.0017
42.6961	1	1	0	8.91451
42.7001	1	1	0	-18.1901
42.7001	3	1	0	24.0017
42.7051	1	1	0	-18.1901
42.7051	3	1	0	24.0017
42.7101	1	1	0	-18.1901
42.7101	3	1	0	24.0017
42.7151	1	1	0	-18.1901
42.7151	3	1	0	24.0017
42.7191	3	1	0	61.6913
42.7201	1	1	0	-18.1901
42.7201	3	1	0	24.0017
42.7251	1	1	0	-18.1901
42.7251	3	1	0	24.0017
42.7301	1	1	0	-18.1901
42.7301	3	1	0	24.0017
42.7351	1	1	0	-18.1901
42.7351	3	1	0	24.0017
42.7401	1	1	0	-18.1901
42.7401	3	1	0	24.0017
42.7451	1	1	0	-18.1901
42.7451	3	1	0	24.0017
42.7501	1	1	0	-18.1901
42.7501	3	1	0	24.0017
42.7551	1	1	0	-18.1901
42.7551	3	1	0	24.0017
42.7601	1	1	0	-18.1901
42.7601	3	1	0	24.0017
42.7651	1	1	0	-18.1901
42.7651	3	1	0	24.0017
42.7701	1	1	0	-18.1901
42.7701	3	1	0	24.0017
42.7751	1	1	0	-18.1901
42.7751	3	1	0	24.0017
42.7761	1	1	0	8.91451
42.7801	1	1	0	-18.1901
42.7801	3	1	0	24.0017
42.7851	1	1	0	-18.1901
42.7851	3	1	0	24.0017
42.7901	1	1	0	-18.1901
42.7901	3	1	0	24.0017
42.7951	1	1	0	-18.1901
42.7951	3	1	0	24.0017
42.7991	3	1	0	61.6913
42.8001	1	1	0	-18.1901
42.8001	3	1	0	24.0017
42.8051	1	1	0	-18.1901
42.8051	3	1	0	24.0017
42.8101	1	1	0	-18.1901
42.8101	3	1	0	24.0017
42.8151	1	1	0	-18.1901
42.8151	3	1	0	24.0017
42.8201	1	1	0	-18.1901
42.8201	3	1	0	24.0017
42.8251	1	1	0	-18.1901
42.8251	3	1	0	24.0017
42.8301	1	1	0	-18.1901
42.8301	3	1	0	24.0017
42.8351	1	1	0	-18.1901
42.8351	3	1	0	24.0017
42.8401	1	1	0	-18.1901
42.8401	3	1	0	24.0017
42.8451	1	1	0	-18.1901
42.8451	3	1	0	24.0017
42.8501	1	1	0	-18.1901
42.8501	3	1	0	24.0017
42.8551	1	1	0	-18.1901
42.8551	3	1	0	24.0017
42.8561	1	1	0	8.91451
42.8601	1	1	0	-18.1901
42.8601	3	1	0	24.0017
42.8651	1	1	0	-18.1901
42.8651	3	1	0	24.0017
42.8701	1	1	0	-18.1901
42.8701	3	1	0	24.0017
42.8751	1	1	0	-18.1901
42.8751	3	1	0	24.0017
42.8791	3	1	0	61.6913
42.8801	1	1	0	-18.1901
42.8801	3	1	0	24.0017
42.8851	1	1	0	-18.1901
42.8851	3	1	0	24.0017
42.8901	1	1	0	-18.1901
42.8901	3	1	0	24.0017
42.8951	1	1	0	-18.1901
42.8951	3	1	0	24.0017
42.9001	1	1	0	-18.1901
42.9001	3	1	0	24.0017
42.9051	1	1	0	-18.1901
42.9051	3	1	0	24.0017
42.9101	1	1	0	-18.1901
42.9101	3	1	0	24.0017
42.9151	1	1	0	-18.1901
42.9151	3	1	0	24.0017
42.9201	1	1	0	-18.1901
42.9201	3	1	0	24.0017
42.9251	1	1	0	-18.1901
42.9251	3	1	0	24.0017
42.9301	1	1	0	-18.1901
42.9301	3	1	0	24.0017
42.9351	1	1	0	-18.1901
42.9351	3	1	0	24.0017
42.9361	1	1	0	8.91451
42.9401	1	1	0	-18.1901
42.9401	3	1	0	24.0017
42.9451	1	1	0	-18.1901
42.9451	3	1	0	24.0017
42.9501	1	1	0	-18.1901
42.9501	3	1	0	24.0017
42.9551	1	1	0	-18.1901
42.9551	3	1	0	24.0017
42.9591	3	1	0	61.6913
42.9601	1	1	0	-18.1901
